"","Loop_number","No_loop","Loop"
"1497",0,0,1
"1498",0,0,1
"1499",0,0,1
"1500",0,0,1
"1501",0,0,1
"1502",0,0,1
"1503",0,0,1
"1504",0,0,1
"1505",0,0,1
"1506",1,0,1
"1507",0,0,1
"1508",0,0,1
"1509",0,0,1
"1510",0,0,1
"1511",0,0,1
"1512",0,0,1
"1513",0,0,1
"1514",0,0,1
"1515",2,0,1
"1516",0,0,1
"1517",0,0,1
"1518",0,0,1
"1519",0,0,1
"1520",0,0,1
"1521",0,0,1
"1522",0,0,1
"1523",0,0,1
"1524",1,0,1
"1525",0,0,1
"1526",0,0,1
"1527",0,0,1
"1528",0,0,1
"1529",0,0,1
"1530",0,0,1
"1531",2,0,1
"1532",0,0,1
"1533",0,0,1
"1534",0,0,1
"1535",0,0,1
"1536",3,0,1
"1537",0,0,1
"1538",0,0,1
"1539",0,0,1
"1540",0,0,1
"1541",1,0,1
"1542",0,0,1
"1543",1,0,1
"1544",1,0,1
"1545",0,0,1
"1546",0,0,1
"1547",1,0,1
"1548",0,0,1
"1549",0,0,1
"1550",0,0,1
"1551",3,0,1
"1552",0,0,1
"1553",0,0,1
"1554",2,0,1
"1555",0,0,1
"1556",1,0,1
"1557",0,0,1
"1558",0,0,1
"1559",0,0,1
"1560",16,0,1
"1561",0,0,1
"1562",0,0,1
"1563",0,0,1
"1564",0,0,1
"1565",0,0,1
"1566",0,0,1
"1567",1,0,1
"1568",2,0,1
"1569",0,0,1
"1570",0,0,1
"1571",0,0,1
"1572",2,0,1
"1573",0,0,1
"1574",1,0,1
"1575",0,0,1
"1576",0,0,1
"1577",0,0,1
"1578",6,0,1
"1579",0,0,1
"1580",0,0,1
"1581",0,0,1
"1582",1,0,1
"1583",0,0,1
"1584",0,0,1
"1585",0,0,1
"1586",0,0,1
"1587",0,0,1
"1588",0,0,1
"1589",1,0,1
"1590",0,0,1
"1591",1,0,1
"1592",0,0,1
"1593",1,0,1
"1594",0,0,1
"1595",20,0,1
"1596",0,0,1
"1597",0,0,1
"1598",0,0,1
"1599",0,0,1
"1600",0,0,1
"1601",0,0,1
"1602",0,0,1
"1603",0,0,1
"1604",0,0,1
"1605",0,0,1
"1606",0,0,1
"1607",0,0,1
"1608",0,0,1
"1609",0,0,1
"1610",0,0,1
"1611",0,0,1
"1612",0,0,1
"1613",0,0,1
"1614",0,0,1
"1615",0,0,1
"1616",0,0,1
"1617",0,0,1
"1618",0,0,1
"1619",7,0,1
"1620",0,0,1
"1621",0,0,1
"1622",1,0,1
"1623",0,0,1
"1624",0,0,1
"1625",0,0,1
"1626",0,0,1
"1627",0,0,1
"1628",0,0,1
"1629",0,0,1
"1630",0,0,1
"1631",6,0,1
"1632",0,0,1
"1633",0,0,1
"1634",4,0,1
"1635",0,0,1
"1636",1,0,1
"1637",0,0,1
"1638",0,0,1
"1639",0,0,1
"1640",0,0,1
"1641",0,0,1
"1642",8,0,1
"1643",0,0,1
"1644",0,0,1
"1645",0,0,1
"1646",0,0,1
"1647",0,0,1
"1648",0,0,1
"1649",0,0,1
"1650",0,0,1
"1651",0,0,1
"1652",0,0,1
"1653",0,0,1
"1654",0,0,1
"1655",0,0,1
"1656",1,0,1
"1657",0,0,1
"1658",0,0,1
"1659",0,0,1
"1660",0,0,1
"1661",0,0,1
"1662",0,0,1
"1663",0,0,1
"1664",0,0,1
"1665",1,0,1
"1666",0,0,1
"1667",0,0,1
"1668",0,0,1
"1669",0,0,1
"1670",0,0,1
"1671",0,0,1
"1672",0,0,1
"1673",0,0,1
"1674",0,0,1
"1675",0,0,1
"1676",0,0,1
"1677",0,0,1
"1678",0,0,1
"1679",0,0,1
"1680",0,0,1
"1681",0,0,1
"1682",0,0,1
"1683",0,0,1
"1684",0,0,1
"1685",0,0,1
"1686",0,0,1
"1687",1,0,1
"1688",0,0,1
"1689",0,0,1
"1690",0,0,1
"1691",0,0,1
"1692",0,0,1
"1693",0,0,1
"1694",0,0,1
"1695",0,0,1
"1696",0,0,1
"1697",3,0,1
"1698",0,0,1
"1699",1,0,1
"1700",0,0,1
"1701",3,0,1
"1702",0,0,1
"1703",6,0,1
"1704",1,0,1
"1705",0,0,1
"1706",0,0,1
"1707",0,0,1
"1708",0,0,1
"1709",0,0,1
"1710",6,0,1
"1711",0,0,1
"1712",1,0,1
"1713",1,0,1
"1714",0,0,1
"1715",1,0,1
"1716",0,0,1
"1717",1,0,1
"1718",0,0,1
"1719",0,0,1
"1720",0,0,1
"1721",0,0,1
"1722",0,0,1
"1723",0,0,1
"1724",0,0,1
"1725",0,0,1
"1726",0,0,1
"1727",0,0,1
"1728",0,0,1
"1729",0,0,1
"1730",0,0,1
"1731",0,0,1
"1732",5,0,1
"1733",0,0,1
"1734",0,0,1
"1735",0,0,1
"1736",0,0,1
"1737",1,0,1
"1738",1,0,1
"1739",0,0,1
"1740",0,0,1
"1741",0,0,1
"1742",0,0,1
"1743",0,0,1
"1744",0,0,1
"1745",0,0,1
"1746",0,0,1
"1747",1,0,1
"1748",0,0,1
"1749",0,0,1
"1750",1,0,1
"1751",2,0,1
"1752",0,0,1
"1753",0,0,1
"1754",0,0,1
"1755",0,0,1
"1756",0,0,1
"1757",0,0,1
"1758",0,0,1
"1759",0,0,1
"1760",1,0,1
"1761",0,0,1
"1762",0,0,1
"1763",0,0,1
"1764",1,0,1
"1765",1,0,1
"1766",1,0,1
"1767",0,0,1
"1768",0,0,1
"1769",0,0,1
"1770",0,0,1
"1771",1,0,1
"1772",0,0,1
"1773",0,0,1
"1774",1,0,1
"1775",0,0,1
"1776",0,0,1
"1777",0,0,1
"1778",0,0,1
"1779",0,0,1
"1780",0,0,1
"1781",0,0,1
"1782",0,0,1
"1783",1,0,1
"1784",3,0,1
"1785",1,0,1
"1786",0,0,1
"1787",0,0,1
"1788",0,0,1
"1789",0,0,1
"1790",0,0,1
"1791",0,0,1
"1792",1,0,1
"1793",0,0,1
"1794",0,0,1
"1795",0,0,1
"1796",0,0,1
"1797",0,0,1
"1798",0,0,1
"1799",0,0,1
"1800",0,0,1
"1801",0,0,1
"1802",0,0,1
"1803",1,0,1
"1804",0,0,1
"1805",0,0,1
"1806",0,0,1
"1807",0,0,1
"1808",0,0,1
"1809",0,0,1
"1810",0,0,1
"1811",0,0,1
"1812",0,0,1
"1813",0,0,1
"1814",0,0,1
"1815",0,0,1
"1816",0,0,1
"1817",0,0,1
"1818",0,0,1
"1819",0,0,1
"1820",0,0,1
"1821",0,0,1
"1822",0,0,1
"1823",0,0,1
"1824",0,0,1
"1825",0,0,1
"1826",3,0,1
"1827",0,0,1
"1828",0,0,1
"1829",2,0,1
"1830",0,0,1
"1831",0,0,1
"1832",0,0,1
"1833",0,0,1
"1834",0,0,1
"1835",0,0,1
"1836",1,0,1
"1837",1,0,1
"1838",1,0,1
"1839",0,0,1
"1840",0,0,1
"1841",0,0,1
"1842",0,0,1
"1843",0,0,1
"1844",0,0,1
"1845",0,0,1
"1846",0,0,1
"1847",0,0,1
"1848",1,0,1
"1849",1,0,1
"1850",0,0,1
"1851",2,0,1
"1852",0,0,1
"1853",0,0,1
"1854",0,0,1
"1855",0,0,1
"1856",0,0,1
"1857",0,0,1
"1858",0,0,1
"1859",0,0,1
"1860",0,0,1
"1861",0,0,1
"1862",1,0,1
"1863",0,0,1
"1864",0,0,1
"1865",0,0,1
"1866",0,0,1
"1867",0,0,1
"1868",0,0,1
"1869",0,0,1
"1870",0,0,1
"1871",11,0,1
"1872",0,0,1
"1873",0,0,1
"1874",7,0,1
"1875",0,0,1
"1876",2,0,1
"1877",0,0,1
"1878",2,0,1
"1879",10,0,1
"1880",6,0,1
"1881",9,0,1
"1882",4,0,1
"1883",2,0,1
"1884",3,0,1
"1885",0,0,1
"1886",5,0,1
"1887",0,0,1
"1888",0,0,1
"1889",1,0,1
"1890",0,0,1
"1891",0,0,1
"1892",1,0,1
"1893",0,0,1
"1894",0,0,1
"1895",1,0,1
"1896",0,0,1
"1897",0,0,1
"1898",0,0,1
"1899",0,0,1
"1900",0,0,1
"1901",0,0,1
"1902",0,0,1
"1903",0,0,1
"1904",0,0,1
"1905",0,0,1
"1906",1,0,1
"1907",0,0,1
"1908",1,0,1
"1909",0,0,1
"1910",0,0,1
"1911",0,0,1
"1912",0,0,1
"1913",0,0,1
"1914",0,0,1
"1915",2,0,1
"1916",0,0,1
"1917",0,0,1
"1918",0,0,1
"1919",0,0,1
"1920",0,0,1
"1921",1,0,1
"1922",0,0,1
"1923",0,0,1
"1924",0,0,1
"1925",1,0,1
"1926",0,0,1
"1927",0,0,1
"1928",0,0,1
"1929",0,0,1
"1930",0,0,1
"1931",0,0,1
"1932",0,0,1
"1933",0,0,1
"1934",1,0,1
"1935",0,0,1
"1936",0,0,1
"1937",0,0,1
"1938",1,0,1
"1939",0,0,1
"1940",1,0,1
"1941",0,0,1
"1942",0,0,1
"1943",0,0,1
"1944",0,0,1
"1945",1,0,1
"1946",3,0,1
"1947",0,0,1
"1948",0,0,1
"1949",0,0,1
"1950",0,0,1
"1951",0,0,1
"1952",0,0,1
"1953",0,0,1
"1954",0,0,1
"1955",0,0,1
"1956",0,0,1
"1957",0,0,1
"1958",0,0,1
"1959",0,0,1
"1960",0,0,1
"1961",0,0,1
"1962",0,0,1
"1963",0,0,1
"1964",0,0,1
"1965",0,0,1
"1966",0,0,1
"1967",0,0,1
"1968",0,0,1
"1969",0,0,1
"1970",0,0,1
"1971",0,0,1
"1972",0,0,1
"1973",0,0,1
"1974",2,0,1
"1975",0,0,1
"1976",0,0,1
"1977",1,0,1
"1978",0,0,1
"1979",0,0,1
"1980",0,0,1
"1981",0,0,1
"1982",0,0,1
"1983",0,0,1
"1984",0,0,1
"1985",0,0,1
"1986",0,0,1
"1987",0,0,1
"1988",0,0,1
"1989",3,0,1
"1990",0,0,1
"1991",0,0,1
"1992",2,0,1
"1993",0,0,1
"1994",0,0,1
"1995",0,0,1
"1996",1,0,1
"1997",0,0,1
"1998",0,0,1
"1999",0,0,1
"2000",0,0,1
"2001",0,0,1
"2002",0,0,1
"2003",0,0,1
"2004",0,0,1
"2005",0,0,1
"2006",0,0,1
"2007",0,0,1
"2008",0,0,1
"2009",0,0,1
"2010",0,0,1
"2011",0,0,1
"2012",0,0,1
"2013",3,0,1
"2014",0,0,1
"2015",0,0,1
"2016",2,0,1
"2017",1,0,1
"2018",0,0,1
"2019",0,0,1
"2020",0,0,1
"2021",0,0,1
"2022",0,0,1
"2023",0,0,1
"2024",0,0,1
"2025",0,0,1
"2026",0,0,1
"2027",0,0,1
"2028",0,0,1
"2029",0,0,1
"2030",0,0,1
"2031",0,0,1
"2032",1,0,1
"2033",0,0,1
"2034",0,0,1
"2035",0,0,1
"2036",0,0,1
"2037",0,0,1
"2038",0,0,1
"2039",0,0,1
"2040",0,0,1
"2041",0,0,1
"2042",3,0,1
"2043",3,0,1
"2044",0,0,1
"2045",1,0,1
"2046",1,0,1
"2047",0,0,1
"2048",0,0,1
"2049",0,0,1
"2050",0,0,1
"2051",0,0,1
"2052",0,0,1
"2053",0,0,1
"2054",0,0,1
"2055",0,0,1
"2056",0,0,1
"2057",0,0,1
"2058",0,0,1
"2059",0,0,1
"2060",0,0,1
"2061",0,0,1
"2062",0,0,1
"2063",3,0,1
"2064",0,0,1
"2065",0,0,1
"2066",0,0,1
"2067",0,0,1
"2068",0,0,1
"2069",0,0,1
"2070",0,0,1
"2071",0,0,1
"2072",0,0,1
"2073",0,0,1
"2074",1,0,1
"2075",0,0,1
"2076",0,0,1
"2077",0,0,1
"2078",7,0,1
"2079",0,0,1
"2080",0,0,1
"2081",3,0,1
"2082",0,0,1
"2083",0,0,1
"2084",44,0,1
"2085",0,0,1
"2086",0,0,1
"2087",1,0,1
"2088",6,0,1
"2089",1,0,1
"2090",0,0,1
"2091",0,0,1
"2092",0,0,1
"2093",0,0,1
"2094",2,0,1
"2095",1,0,1
"2096",0,0,1
"2097",0,0,1
"2098",0,0,1
"2099",4,0,1
"2100",0,0,1
"2101",0,0,1
"2102",1,0,1
"2103",0,0,1
"2104",0,0,1
"2105",2,0,1
"2106",0,0,1
"2107",0,0,1
"2108",1,0,1
"2109",0,0,1
"2110",0,0,1
"2111",0,0,1
"2112",0,0,1
"2113",0,0,1
"2114",1,0,1
"2115",0,0,1
"2116",0,0,1
"2117",0,0,1
"2118",0,0,1
"2119",0,0,1
"2120",0,0,1
"2121",0,0,1
"2122",0,0,1
"2123",0,0,1
"2124",0,0,1
"2125",0,0,1
"2126",0,0,1
"2127",0,0,1
"2128",0,0,1
"2129",0,0,1
"2130",15,0,1
"2131",0,0,1
"2132",3,0,1
"2133",0,0,1
"2134",0,0,1
"2135",0,0,1
"2136",1,0,1
"2137",1,0,1
"2138",0,0,1
"2139",1,0,1
"2140",0,0,1
"2141",0,0,1
"2142",0,0,1
"2143",0,0,1
"2144",0,0,1
"2145",0,0,1
"2146",0,0,1
"2147",19,0,1
"2148",0,0,1
"2149",0,0,1
"2150",0,0,1
"2151",0,0,1
"2152",0,0,1
"2153",0,0,1
"2154",2,0,1
"2155",0,0,1
"2156",0,0,1
"2157",0,0,1
"2158",0,0,1
"2159",0,0,1
"2160",0,0,1
"2161",0,0,1
"2162",1,0,1
"2163",1,0,1
"2164",0,0,1
"2165",0,0,1
"2166",0,0,1
"2167",0,0,1
"2168",0,0,1
"2169",2,0,1
"2170",0,0,1
"2171",0,0,1
"2172",0,0,1
"2173",0,0,1
"2174",0,0,1
"2175",0,0,1
"2176",0,0,1
"2177",0,0,1
"2178",0,0,1
"2179",0,0,1
"2180",0,0,1
"2181",7,0,1
"2182",1,0,1
"2183",0,0,1
"2184",4,0,1
"2185",1,0,1
"2186",1,0,1
"2187",0,0,1
"2188",4,0,1
"2189",6,0,1
"2190",3,0,1
"2191",0,0,1
"2192",0,0,1
"2193",1,0,1
"2194",6,0,1
"2195",0,0,1
"2196",0,0,1
"2197",1,0,1
"2198",0,0,1
"2199",1,0,1
"2200",3,0,1
"2201",0,0,1
"2202",0,0,1
"2203",1,0,1
"2204",0,0,1
"2205",0,0,1
"2206",0,0,1
"2207",0,0,1
"2208",0,0,1
"2209",0,0,1
"2210",0,0,1
"2211",0,0,1
"2212",0,0,1
"2213",0,0,1
"2214",0,0,1
"2215",0,0,1
"2216",0,0,1
"2217",0,0,1
"2218",16,0,1
"2219",0,0,1
"2220",0,0,1
"2221",0,0,1
"2222",0,0,1
"2223",0,0,1
"2224",0,0,1
"2225",0,0,1
"2226",0,0,1
"2227",0,0,1
"2228",0,0,1
"2229",0,0,1
"2230",1,0,1
"2231",0,0,1
"2232",3,0,1
"2233",0,0,1
"2234",1,0,1
"2235",0,0,1
"2236",0,0,1
"2237",7,0,1
"2238",0,0,1
"2239",0,0,1
"2240",0,0,1
"2241",0,0,1
"2242",0,0,1
"2243",0,0,1
"2244",0,0,1
"2245",2,0,1
"2246",0,0,1
"2247",0,0,1
"2248",1,0,1
"2249",1,0,1
"2250",0,0,1
"2251",1,0,1
"2252",0,0,1
"2253",0,0,1
"2254",1,0,1
"2255",0,0,1
"2256",0,0,1
"2257",25,0,1
"2258",1,0,1
"2259",8,0,1
"2260",1,0,1
"2261",5,0,1
"2262",1,0,1
"2263",1,0,1
"2264",2,0,1
"2265",0,0,1
"2266",0,0,1
"2267",0,0,1
"2268",0,0,1
"2269",0,0,1
"2270",0,0,1
"2271",1,0,1
"2272",0,0,1
"2273",0,0,1
"2274",0,0,1
"2275",0,0,1
"2276",0,0,1
"2277",0,0,1
"2278",0,0,1
"2279",0,0,1
"2280",0,0,1
"2281",0,0,1
"2282",0,0,1
"2283",0,0,1
"2284",0,0,1
"2285",0,0,1
"2286",0,0,1
"2287",0,0,1
"2288",0,0,1
"2289",0,0,1
"2290",0,0,1
"2291",0,0,1
"2292",0,0,1
"2293",0,0,1
"2294",0,0,1
"2295",0,0,1
"2296",0,0,1
"2297",0,0,1
"2298",0,0,1
"2299",0,0,1
"2300",0,0,1
"2301",0,0,1
"2302",1,0,1
"2303",0,0,1
"2304",1,0,1
"2305",0,0,1
"2306",0,0,1
"2307",0,0,1
"2308",0,0,1
"2309",0,0,1
"2310",0,0,1
"2311",5,0,1
"2312",1,0,1
"2313",1,0,1
"2314",1,0,1
"2315",9,0,1
"2316",20,0,1
"2317",0,0,1
"2318",2,0,1
"2319",2,0,1
"2320",3,0,1
"2321",8,0,1
"2322",2,0,1
"2323",4,0,1
"2324",0,0,1
"2325",0,0,1
"2326",0,0,1
"2327",2,0,1
"2328",0,0,1
"2329",1,0,1
"2330",1,0,1
"2331",0,0,1
"2332",0,0,1
"2333",0,0,1
"2334",0,0,1
"2335",0,0,1
"2336",0,0,1
"2337",0,0,1
"2338",0,0,1
"2339",0,0,1
"2340",0,0,1
"2341",0,0,1
"2342",0,0,1
"2343",0,0,1
"2344",0,0,1
"2345",0,0,1
"2346",0,0,1
"2347",0,0,1
"2348",0,0,1
"2349",14,0,1
"2350",7,0,1
"2351",0,0,1
"2352",0,0,1
"2353",0,0,1
"2354",0,0,1
"2355",0,0,1
"2356",0,0,1
"2357",0,0,1
"2358",1,0,1
"2359",0,0,1
"2360",1,0,1
"2361",2,0,1
"2362",3,0,1
"2363",0,0,1
"2364",0,0,1
"2365",0,0,1
"2366",0,0,1
"2367",0,0,1
"2368",5,0,1
"2369",0,0,1
"2370",0,0,1
"2371",1,0,1
"2372",3,0,1
"2373",0,0,1
"2374",0,0,1
"2375",2,0,1
"2376",0,0,1
"2377",0,0,1
"2378",0,0,1
"2379",0,0,1
"2380",1,0,1
"2381",0,0,1
"2382",0,0,1
"2383",1,0,1
"2384",1,0,1
"2385",0,0,1
"2386",0,0,1
"2387",0,0,1
"2388",0,0,1
"2389",0,0,1
"2390",2,0,1
"2391",1,0,1
"2392",0,0,1
"2393",0,0,1
"2394",0,0,1
"2395",0,0,1
"2396",0,0,1
"2397",0,0,1
"2398",0,0,1
"2399",0,0,1
"2400",1,0,1
"2401",0,0,1
"2402",0,0,1
"2403",0,0,1
"2404",0,0,1
"2405",0,0,1
"2406",0,0,1
"2407",0,0,1
"2408",0,0,1
"2409",0,0,1
"2410",0,0,1
"2411",0,0,1
"2412",0,0,1
"2413",0,0,1
"2414",1,0,1
"2415",0,0,1
"2416",10,0,1
"2417",2,0,1
"2418",3,0,1
"2419",0,0,1
"2420",3,0,1
"2421",0,0,1
"2422",0,0,1
"2423",0,0,1
"2424",0,0,1
"2425",0,0,1
"2426",0,0,1
"2427",0,0,1
"2428",0,0,1
"2429",0,0,1
"2430",0,0,1
"2431",0,0,1
"2432",0,0,1
"2433",0,0,1
"2434",0,0,1
"2435",0,0,1
"2436",0,0,1
"2437",0,0,1
"2438",0,0,1
"2439",0,0,1
"2440",0,0,1
"2441",0,0,1
"2442",11,0,1
"2443",0,0,1
"2444",0,0,1
"2445",1,0,1
"2446",0,0,1
"2447",0,0,1
"2448",0,0,1
"2449",1,0,1
"2450",0,0,1
"2451",0,0,1
"2452",0,0,1
"2453",0,0,1
"2454",0,0,1
"2455",1,0,1
"2456",0,0,1
"2457",0,0,1
"2458",0,0,1
"2459",0,0,1
"2460",0,0,1
"2461",0,0,1
"2462",0,0,1
"2463",0,0,1
"2464",1,0,1
"2465",0,0,1
"2466",0,0,1
"2467",0,0,1
"2468",0,0,1
"2469",0,0,1
"2470",0,0,1
"2471",0,0,1
"2472",0,0,1
"2473",0,0,1
"2474",0,0,1
"2475",0,0,1
"2476",0,0,1
"2477",0,0,1
"2478",0,0,1
"2479",0,0,1
"2480",0,0,1
"2481",0,0,1
"2482",0,0,1
"2483",0,0,1
"2484",0,0,1
"2485",0,0,1
"2486",0,0,1
"2487",0,0,1
"2488",1,0,1
"2489",3,0,1
"2490",0,0,1
"2491",0,0,1
"2492",6,0,1
"2493",2,0,1
"2494",0,0,1
"2495",0,0,1
"2496",0,0,1
"2497",3,0,1
"2498",0,0,1
"2499",12,0,1
"2500",0,0,1
"2501",0,0,1
"2502",0,0,1
"2503",0,0,1
"2504",0,0,1
"2505",0,0,1
"2506",1,0,1
"2507",0,0,1
"2508",0,0,1
"2509",0,0,1
"2510",1,0,1
"2511",1,0,1
"2512",0,0,1
"2513",1,0,1
"2514",0,0,1
"2515",0,0,1
"2516",6,0,1
"2517",0,0,1
"2518",0,0,1
"2519",0,0,1
"2520",0,0,1
"2521",0,0,1
"2522",1,0,1
"2523",1,0,1
"2524",0,0,1
"2525",0,0,1
"2526",0,0,1
"2527",0,0,1
"2528",0,0,1
"2529",2,0,1
"2530",0,0,1
"2531",0,0,1
"2532",0,0,1
"2533",0,0,1
"2534",0,0,1
"2535",0,0,1
"2536",0,0,1
"2537",0,0,1
"2538",0,0,1
"2539",0,0,1
"2540",1,0,1
"2541",1,0,1
"2542",0,0,1
"2543",0,0,1
"2544",0,0,1
"2545",0,0,1
"2546",1,0,1
"2547",0,0,1
"2548",0,0,1
"2549",0,0,1
"2550",0,0,1
"2551",0,0,1
"2552",1,0,1
"2553",3,0,1
"2554",4,0,1
"2555",3,0,1
"2556",0,0,1
"2557",0,0,1
"2558",3,0,1
"2559",2,0,1
"2560",1,0,1
"2561",5,0,1
"2562",2,0,1
"2563",1,0,1
"2564",0,0,1
"2565",0,0,1
"2566",1,0,1
"2567",1,0,1
"2568",0,0,1
"2569",7,0,1
"2570",2,0,1
"2571",26,0,1
"2572",0,0,1
"2573",4,0,1
"2574",0,0,1
"2575",0,0,1
"2576",0,0,1
"2577",1,0,1
"2578",0,0,1
"2579",3,0,1
"2580",0,0,1
"2581",0,0,1
"2582",0,0,1
"2583",0,0,1
"2584",0,0,1
"2585",0,0,1
"2586",0,0,1
"2587",8,0,1
"2588",0,0,1
"2589",0,0,1
"2590",0,0,1
"2591",4,0,1
"2592",0,0,1
"2593",2,0,1
"2594",0,0,1
"2595",0,0,1
"2596",0,0,1
"2597",0,0,1
"2598",0,0,1
"2599",0,0,1
"2600",2,0,1
"2601",0,0,1
"2602",0,0,1
"2603",4,0,1
"2604",6,0,1
"2605",2,0,1
"2606",15,0,1
"2607",1,0,1
"2608",1,0,1
"2609",2,0,1
"2610",3,0,1
"2611",0,0,1
"2612",3,0,1
"2613",0,0,1
"2614",0,0,1
"2615",0,0,1
"2616",1,0,1
"2617",1,0,1
"2618",5,0,1
"2619",0,0,1
"2620",0,0,1
"2621",0,0,1
"2622",0,0,1
"2623",0,0,1
"2624",0,0,1
"2625",0,0,1
"2626",0,0,1
"2627",0,0,1
"2628",2,0,1
"2629",0,0,1
"2630",0,0,1
"2631",0,0,1
"2632",0,0,1
"2633",0,0,1
"2634",0,0,1
"2635",0,0,1
"2636",0,0,1
"2637",0,0,1
"2638",0,0,1
"2639",0,0,1
"2640",0,0,1
"2641",0,0,1
"2642",0,0,1
"2643",0,0,1
"2644",0,0,1
"2645",0,0,1
"2646",0,0,1
"2647",0,0,1
"2648",0,0,1
"2649",0,0,1
"2650",0,0,1
"2651",0,0,1
"2652",0,0,1
"2653",0,0,1
"2654",0,0,1
"2655",2,0,1
"2656",0,0,1
"2657",0,0,1
"2658",0,0,1
"2659",0,0,1
"2660",0,0,1
"2661",0,0,1
"2662",0,0,1
"2663",0,0,1
"2664",2,0,1
"2665",0,0,1
"2666",0,0,1
"2667",6,0,1
"2668",0,0,1
"2669",0,0,1
"2670",0,0,1
"2671",1,0,1
"2672",2,0,1
"2673",0,0,1
"2674",0,0,1
"2675",0,0,1
"2676",0,0,1
"2677",0,0,1
"2678",0,0,1
"2679",1,0,1
"2680",0,0,1
"2681",1,0,1
"2682",1,0,1
"2683",3,0,1
"2684",7,0,1
"2685",15,0,1
"2686",3,0,1
"2687",6,0,1
"2688",0,0,1
"2689",0,0,1
"2690",0,0,1
"2691",5,0,1
"2692",0,0,1
"2693",1,0,1
"2694",9,0,1
"2695",0,0,1
"2696",1,0,1
"2697",1,0,1
"2698",12,0,1
"2699",0,0,1
"2700",0,0,1
"2701",5,0,1
"2702",0,0,1
"2703",5,0,1
"2704",0,0,1
"2705",0,0,1
"2706",0,0,1
"2707",0,0,1
"2708",1,0,1
"2709",0,0,1
"2710",0,0,1
"2711",0,0,1
"2712",0,0,1
"2713",0,0,1
"2714",0,0,1
"2715",0,0,1
"2716",0,0,1
"2717",0,0,1
"2718",0,0,1
"2719",0,0,1
"2720",1,0,1
"2721",0,0,1
"2722",0,0,1
"2723",0,0,1
"2724",0,0,1
"2725",0,0,1
"2726",0,0,1
"2727",4,0,1
"2728",0,0,1
"2729",0,0,1
"2730",0,0,1
"2731",0,0,1
"2732",0,0,1
"2733",0,0,1
"2734",0,0,1
"2735",0,0,1
"2736",0,0,1
"2737",0,0,1
"2738",0,0,1
"2739",0,0,1
"2740",0,0,1
"2741",0,0,1
"2742",1,0,1
"2743",0,0,1
"2744",1,0,1
"2745",0,0,1
"2746",0,0,1
"2747",0,0,1
"2748",0,0,1
"2749",0,0,1
"2750",0,0,1
"2751",0,0,1
"2752",0,0,1
"2753",0,0,1
"2754",0,0,1
"2755",0,0,1
"2756",0,0,1
"2757",0,0,1
"2758",0,0,1
"2759",0,0,1
"2760",0,0,1
"2761",0,0,1
"2762",0,0,1
"2763",0,0,1
"2764",0,0,1
"2765",0,0,1
"2766",0,0,1
"2767",0,0,1
"2768",0,0,1
"2769",0,0,1
"2770",0,0,1
"2771",0,0,1
"2772",1,0,1
"2773",0,0,1
"2774",0,0,1
"2775",0,0,1
"2776",1,0,1
"2777",1,0,1
"2778",0,0,1
"2779",6,0,1
"2780",3,0,1
"2781",0,0,1
"2782",1,0,1
"2783",1,0,1
"2784",3,0,1
"2785",1,0,1
"2786",0,0,1
"2787",2,0,1
"2788",9,0,1
"2789",0,0,1
"2790",4,0,1
"2791",0,0,1
"2792",0,0,1
"2793",0,0,1
"2794",2,0,1
"2795",0,0,1
"2796",0,0,1
"2797",0,0,1
"2798",0,0,1
"2799",0,0,1
"2800",0,0,1
"2801",0,0,1
"2802",0,0,1
"2803",0,0,1
"2804",0,0,1
"2805",0,0,1
"2806",0,0,1
"2807",12,0,1
"2808",0,0,1
"2809",0,0,1
"2810",0,0,1
"2811",0,0,1
"2812",0,0,1
"2813",0,0,1
"2814",0,0,1
"2815",0,0,1
"2816",0,0,1
"2817",0,0,1
"2818",0,0,1
"2819",0,0,1
"2820",1,0,1
"2821",0,0,1
"2822",1,0,1
"2823",0,0,1
"2824",1,0,1
"2825",0,0,1
"2826",0,0,1
"2827",0,0,1
"2828",0,0,1
"2829",0,0,1
"2830",5,0,1
"2831",2,0,1
"2832",0,0,1
"2833",0,0,1
"2834",0,0,1
"2835",2,0,1
"2836",0,0,1
"2837",0,0,1
"2838",0,0,1
"2839",4,0,1
"2840",0,0,1
"2841",0,0,1
"2842",0,0,1
"2843",1,0,1
"2844",0,0,1
"2845",0,0,1
"2846",3,0,1
"2847",1,0,1
"2848",1,0,1
"2849",0,0,1
"2850",1,0,1
"2851",0,0,1
"2852",0,0,1
"2853",9,0,1
"2854",0,0,1
"2855",0,0,1
"2856",0,0,1
"2857",0,0,1
"2858",0,0,1
"2859",0,0,1
"2860",0,0,1
"2861",0,0,1
"2862",0,0,1
"2863",0,0,1
"2864",0,0,1
"2865",0,0,1
"2866",0,0,1
"2867",12,0,1
"2868",0,0,1
"2869",0,0,1
"2870",0,0,1
"2871",0,0,1
"2872",0,0,1
"2873",0,0,1
"2874",0,0,1
"2875",0,0,1
"2876",0,0,1
"2877",0,0,1
"2878",0,0,1
"2879",1,0,1
"2880",3,0,1
"2881",0,0,1
"2882",2,0,1
"2883",0,0,1
"2884",0,0,1
"2885",0,0,1
"2886",0,0,1
"2887",0,0,1
"2888",0,0,1
"2889",0,0,1
"2890",0,0,1
"2891",0,0,1
"2892",0,0,1
"2893",0,0,1
"2894",0,0,1
